var_name,var_label
wtmrep05,MEC Exam Weight Jack Knife Replicate 05
wtmrep06,MEC Exam Weight Jack Knife Replicate 06
wtmrep07,MEC Exam Weight Jack Knife Replicate 07
wtmrep08,MEC Exam Weight Jack Knife Replicate 08
wtmrep09,MEC Exam Weight Jack Knife Replicate 09
wtmrep10,MEC Exam Weight Jack Knife Replicate 10
wtmrep11,MEC Exam Weight Jack Knife Replicate 11
wtmrep12,MEC Exam Weight Jack Knife Replicate 12
wtmrep13,MEC Exam Weight Jack Knife Replicate 13
wtmrep14,MEC Exam Weight Jack Knife Replicate 14
wtmrep15,MEC Exam Weight Jack Knife Replicate 15
wtmrep16,MEC Exam Weight Jack Knife Replicate 16
wtmrep17,MEC Exam Weight Jack Knife Replicate 17
wtmrep18,MEC Exam Weight Jack Knife Replicate 18
wtmrep19,MEC Exam Weight Jack Knife Replicate 19
wtmrep20,MEC Exam Weight Jack Knife Replicate 20
wtmrep21,MEC Exam Weight Jack Knife Replicate 21
wtmrep22,MEC Exam Weight Jack Knife Replicate 22
wtmrep23,MEC Exam Weight Jack Knife Replicate 23
wtmrep24,MEC Exam Weight Jack Knife Replicate 24
wtmrep25,MEC Exam Weight Jack Knife Replicate 25
wtmrep26,MEC Exam Weight Jack Knife Replicate 26
wtmrep27,MEC Exam Weight Jack Knife Replicate 27
wtmrep28,MEC Exam Weight Jack Knife Replicate 28
wtmrep29,MEC Exam Weight Jack Knife Replicate 29
wtmrep30,MEC Exam Weight Jack Knife Replicate 30
wtmrep31,MEC Exam Weight Jack Knife Replicate 31
wtmrep32,MEC Exam Weight Jack Knife Replicate 32
wtmrep33,MEC Exam Weight Jack Knife Replicate 33
wtmrep34,MEC Exam Weight Jack Knife Replicate 34
wtmrep35,MEC Exam Weight Jack Knife Replicate 35
wtmrep36,MEC Exam Weight Jack Knife Replicate 36
wtmrep37,MEC Exam Weight Jack Knife Replicate 37
wtmrep38,MEC Exam Weight Jack Knife Replicate 38
wtmrep39,MEC Exam Weight Jack Knife Replicate 39
wtmrep40,MEC Exam Weight Jack Knife Replicate 40
wtmrep41,MEC Exam Weight Jack Knife Replicate 41
wtmrep42,MEC Exam Weight Jack Knife Replicate 42
wtmrep43,MEC Exam Weight Jack Knife Replicate 43
wtmrep44,MEC Exam Weight Jack Knife Replicate 44
wtmrep45,MEC Exam Weight Jack Knife Replicate 45
wtmrep46,MEC Exam Weight Jack Knife Replicate 46
wtmrep47,MEC Exam Weight Jack Knife Replicate 47
wtmrep48,MEC Exam Weight Jack Knife Replicate 48
wtmrep49,MEC Exam Weight Jack Knife Replicate 49
wtmrep50,MEC Exam Weight Jack Knife Replicate 50
wtmrep51,MEC Exam Weight Jack Knife Replicate 51
wtmrep52,MEC Exam Weight Jack Knife Replicate 52
aialang,Language of the MEC ACASI Interview Instrument
fiaintrp,Was an interpreter used to conduct the Family interview?
fialang,Language of the Family Interview Instrument
fiaproxy,Was a Proxy respondent used in conducting the Family Interview?
miaintrp,Was an interpreter used to conduct the MEC CAPI interview?
mialang,Language of the CAPI MEC Interview Instrument
miaproxy,Was a Proxy respondent used in conducting the MEC CAPI Interview?
siaintrp,Was an interpreter used to conduct the Sample Person (SP) interview?
sialang,Language of the Sample Person Interview Instrument
siaproxy,Was a Proxy respondent used in conducting the Sample Person (SP) interview?
dmdfmsiz,Total number of people in the Family
dmdborn2,In what country {were you/was SP} born?
dmdhrage,Age in years of the household reference person at the time of HH screening.  Individuals 80 and over
dmdhrbr2,In what country {were you/was NON-SP Head} born?
indfmin2,Total family income (reported as a range value in dollars)
indfmpir,A ratio of family income to poverty threshold
indhhin2,Total household income (reported as a range value in dollars)
ridageex,Best age in months at date of examination for individuals under 80 years of age at screening.
ridagemn,Best age in months at date of screening for individuals under 80 years of age.
ridageyr,Best age in years of the sample person at time of HH screening.  Individuals 80 and over are topcode
ridexprg,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
ridageex,Best age in months at date of examination for individuals under 80 years of age at the time of MEC e
aialanga,Language of the MEC ACASI Interview Instrument
dmdborn4,In what country {were you/was SP} born?
dmdeduc2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you 
dmdeduc3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you 
dmdhhsza,Number of children aged 5 years or younger in the household
dmdhhszb,Number of children aged 6-17 years old in the household
dmdhhsze,Number of adults aged 60 years or older in the household
dmdhrage,HH reference person's age in years
dmdhrbr4,HH reference person's country of birth
dmdhredu,HH reference person's education level
dmdhrgnd,HH reference person's gender
dmdhrmar,HH reference person's marital status
dmdhsedu,HH reference person's spouse's education level
dmdmartl,Marital status
dmdyrsus,Length of time the participant has been in the US.
dmqadfc,Did {you/SP} ever serve in a foreign country during a time of armed conflict or on a humanitarian or
dmqmiliz,"{Have you/Has SP} ever served on active duty in the U.S. Armed Forces, military Reserves, or Nationa"
indfmpir,A ratio of family income to poverty guidelines.
mialang,Language of the MEC CAPI Interview Instrument
riagendr,Gender of the participant.
ridagemn,Age in months of the participant at the time of screening. Reported for persons aged 24 months or yo
ridageyr,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80
ridexagm,Age in months of the participant at the time of examination. Reported for persons aged 19 years or y
ridexagy,Age in years of the participant at the time of examination. Reported for persons aged 2-19 years at 
ridreth1,Recode of reported race and Hispanic origin information
ridreth3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category"
ridstatr,Interview and examination status of the participant.
sddsrvyr,Data release cycle
sdmvpsu,Masked variance unit pseudo-PSU variable for variance estimation
sdmvstra,Masked variance unit pseudo-stratum variable for variance estimation
wtint2yr,Interviewed participants.
wtmec2yr,Both interviewed and MEC examined participants.
wtint2yr,Full sample 2 year interview weight.
wtmec2yr,Full sample 2 year MEC exam weight.
bpaarm,Arm selected:
bpacsz,Cuff size (cm) (width X length)
bpaen1,Enhancement used first reading
bpaen2,Enhancement used second reading
bpaen3,Enhancement used third reading
bpaen4,Enhancement used fourth reading
bpq150a,Have you had any of the following in the past 30 minutes?:  Food
bpq150b,Have you had any of the following in the past 30 minutes?:  Alcohol
bpq150c,Have you had any of the following in the past 30 minutes?:  Coffee
bpq150d,Have you had any of the following in the past 30 minutes?:  Cigarettes
bpxchr,60 sec HR (30 sec HR * 2)
bpxdar,Diastolic blood pressure average:
bpxdb,# of dropped beats in 30 seconds
bpxdi1,Diastolic:  Blood pressure (first reading) mm Hg
bpxdi2,Diastolic: Blood pressure (second reading) mm Hg
bpxdi3,Diastolic: Blood pressure (third reading) mm Hg
bpxdi4,Diastolic:  Blood pressure (fourth reading if necessary) mm Hg
bpxml1,MIL: maximum inflation levels (mm Hg)
bpxpls,60 sec. pulse (30 sec. pulse * 2):
bpxpty,Pulse type:
bpxpuls,Pulse regular or irregular?
bpxsar,Systolic blood pressure average:
bpxsy1,Systolic:  Blood pressure (first reading) mm Hg
bpxsy2,Systolic:  Blood pressure (second reading) mm Hg
bpxsy3,Systolic:  Blood pressure (third reading) mm Hg
bpxsy4,Systolic:  Blood pressure (fourth reading if necessary) mm Hg
peascct1,Blood Pressure Comment
peascst1,Blood Pressure Status
peasctm1,Blood Pressure Time in Seconds
bmaamp,Amputations?
bmaexcmt,Comment code for an exam
bmaexlen,Exam length in seconds
bmaexsts,Status of a MEC exam
bmallext,Amputations: Lower Left Extremity?
bmallkne,Amputations: Lower Left.   Above or Below Knee?
bmalorex,Amputations: Lower Right Extremity?
bmalorkn,Amputations: Lower Right.   Above or Below Knee?
bmaulext,Amputations: Upper Left Extremity?
bmauplel,Amputations: Upper Left.   Above or Below Elbow?
bmauprel,Amputations: Upper Right.   Above or Below Elbow?
bmaurext,Amputations: Upper Right Extremity?
bmiarmc,Arm Circumference Comment
bmiarml,Upper Arm Length Comment
bmicalf,Maximal Calf Comment
bmihead,Head Circumference Comment
bmiht,Standing Height Comment
bmileg,Upper Leg Length Comment
bmirecum,Recumbent Length Comment
bmisub,Subscapular Skinfold Comment
bmithicr,Thigh Circumference Comment
bmitri,Triceps Skinfold Comment
bmiwaist,Waist Circumference Comment
bmiwt,Weight Comment
bmxarmc,Arm Circumference (cm)
bmxarml,Upper Arm Length (cm)
bmxbmi,Body Mass Index (kg/m**2)
bmxcalf,Maximal Calf Circumference (cm)
bmxhead,Head Circumference (cm)
bmxht,Standing Height (cm)
bmxleg,Upper Leg Length (cm)
bmxrecum,Recumbent Length (cm)
bmxsub,Subscapular Skinfold (mm)
bmxthicr,Thigh Circumference (cm)
bmxtri,Triceps Skinfold (mm)
bmxwaist,Waist Circumference (cm)
bmxwt,Weight (kg)
leaankl,Ankle(s) tested
leaarm,Arm:
ledankcf,Ankle cuff size used for BP measurement
ledarmcf,Brachial cuff size used for BP measurement
lexbrp1,Brachial systolic blood pressure 1 (in millimeters of mercury)
lexbrp2,Brachial systolic blood pressure 2 (in millimeters of mercury)
lexbrpm,Mean brachial systolic blood pressure (in millimeters of mercury)
lexlabpi,Left ABPI
lexlpts1,Left posterior tibial systolic blood pressure 1 (in millimeters of mercury)
lexlpts2,Left posterior tibial systolic blood pressure 2 (in millimeters of mercury)
lexlptsm,Left mean posterior tibial systolic blood pressure (in millimeters of mercury)
lexrabpi,Right ABPI
lexrpts1,Right posterior tibial systolic blood pressure 1 (in millimeters of mercury)
lexrpts2,Right posterior tibial systolic blood pressure 2 (in millimeters of mercury)
lexrptsm,Right mean posterior tibial systolic blood pressure (in millimeters of mercury)
seqn,Respondent sequence number
leaanklc,Ankle comment
leaarm,Arm tested
leaarmc,Arm comment
lealapnc,Left ankle systolic blood pressure > 255 mm Hg?
lealptpd,Left posterior tibial pulse detected?
learapnc,Right ankle systolic blood pressure > 255 mm Hg?
learptpd,Right posterior tibial pulse detected?
ledscct2,ABPI section comment
leq020,Large adult cuff selected due to poor thigh cuff fit?
bmdarmlf,Unusual value noted during data review of BMXARML
bmdcalff,Unusual value noted during data review of BMXCALF
bmdlegf,Unusual value noted during data review of BMXLEG
bmdrecuf,The difference between BMXRECUM and BMXHT for children 24-47 months is > 2.5cm.
bmdstats,Body Measures Component status Code
bmdsubf,Unusual value noted during data review of BMXSUB
bmdthicf,Unusual value noted during data review of BMXTHICM
bpxdi4,Diastolic: Blood pressure (fourth reading if necessary) mm Hg
bpxpls,60 sec. pulse (30 sec. pulse * 2)
bpxpty,Pulse type
bmdavsad,
bmdbmic,BMI Category - Children/Adolescents
bmdsadcm,Sagittal Abdominal Diameter Comment
bmxsad1,Sagittal Abdominal Diameter 1st (cm)
bmxsad2,Sagittal Abdominal Diameter 2nd (cm)
bmxsad3,Sagittal Abdominal Diameter 3rd (cm)
bmxsad4,Sagittal Abdominal Diameter 4th (cm)
bmdavsad,Average Sagittal Abdominal Diameter (cm)
bmdbmic,BMI Category - Children/Youth
lbxgh,
lbxcpsi,C-peptide (nmol/L) in SI units
lbxglu,"Glucose, plasma (mg/dL)"
lbxglusi,Plasma glucose: SI(mmol/L)
lbxin,Insulin (uU/mL)
lbxinsi,Insulin: SI(pmol/L)
wtsaf2yr,Fasting Subsample 2 Year Mec Weight
wtsaf4yr,Fasting Subsample 4 Year Mec Weight
lbdfbsi,Fibrinogen (g/L)
lbxbap,Bone alkaline phosphotase (ug/L)
lbxcrp,C-reactive protein (mg/dL)
lbxfb,Fibrinogen (mg/dL)
lbxhp1,Helicobacter pylori (ISR)
urxnt,N-telopeptides (NTx) (nmol BCE)
lbdhdl,HDL-cholesterol (mg/dL)
lbdhdlsi,HDL-cholesterol (mmol/L)
lbdtcsi,Total cholesterol (mmol/L)
lbxtc,Total cholesterol (mg/dL)
lbdldl,LDL-cholesterol (mg/dL)
lbdldlsi,LDL-cholesterol (mmol/L)
lbdtrsi,Triglyceride (mmol/L)
lbxtr,Triglyceride (mg/dL)
wtsaf2yr,2Yr AM(3-11) & fasting (12+) weights
wtsaf4yr,4Yr AM(3-11) & fasting (12+) weights
lbdfshsi,Follicle stimulating hormone (IU/L)
lbdlhsi,Luteinizing hormone (IU/L)
lbdsalsi,Albumin (g/L)
lbdsbusi,Blood urea nitrogen (mmol/L)
lbdscasi,"Calcium, total (mmol/L)"
lbdschsi,"Cholesterol, total (mmol/L)"
lbdscrsi,Creatinine (umol/L)
lbdsgbsi,Globulin (g/L)
lbdsglsi,Glucose (mmol/L)
lbdsirsi,Iron (umol/L)
lbdsphsi,Phosphorus  (mmol/L)
lbdstbsi,"Bilirubin, total (umol/L)"
lbdstpsi,"Protein, total (g/L)"
lbdstrsi,Triglycerides (mmol/L)
lbdsuasi,Uric acid (umol/L)
lbxfsh,Follicle stimulating hormone (mIU/mL)
lbxlh,Luteinizing hormone (mIU/mL)
lbxsal,Albumin (g/dL)
lbxsapsi,Alkaline phosphotase (U/L)
lbxsassi,AST (U/L)
lbxsatsi,ALT (U/L)
lbxsbu,Blood urea nitrogen (mg/dL)
lbxsc3si,Bicarbonate (mmol/L)
lbxsca,"Calcium, total (mg/dL)"
lbxsch,"Cholesterol, total (mg/dL)"
lbxsclsi,Chloride (mmol/L)
lbxscr,Creatinine (mg/dL)
lbxsgb,Globulin (g/dL)
lbxsgl,Glucose (mg/dL)
lbxsgtsi,GGT (U/L)
lbxsir,Iron (ug/dL)
lbxsksi,Potassium (mmol/L)
lbxsldsi,LDH (U/L)
lbxsnasi,Sodium (mmol/L)
lbxsossi,Osmolality (mOsm/kg)
lbxsph,Phosphorus  (mg/dL)
lbxstb,"Bilirubin, total (mg/dL)"
lbxstp,"Protein, total (g/dL)"
lbxstr,Triglycerides (mg/dL)
lbxsua,Uric acid (mg/dL)
lbdt4si,Thyroxine (T4) (nmol/L)
lbxt4,Thyroxine (T4) (ug/dL)
lbxtsh,Thyroid stimulating hormone (IU/L)
wtsth2yr,Thyroid hormones Subsample 2 yr Mec Wgt
wtsth4yr,Thyroid hormones Subsample 4 yr Mec Wgt
lbdbano,Basophils number
lbdeono,Eosinophils number
lbdlymno,Lymphocyte number
lbdmono,Monocyte number
lbdneno,Segmented neutrophils number
lbxbapct,Basophils percent (%)
lbxeopct,Eosinophils percent (%)
lbxhct,Hematocrit (%)
lbxhgb,Hemoglobin (g/dL)
lbxlypct,Lymphocyte percent (%)
lbxmc,Mean cell hemoglobin concentration (g/dL)
lbxmchsi,Mean cell hemoglobin (pg)
lbxmcvsi,Mean cell volume (fL)
lbxmopct,Monocyte percent (%)
lbxmpsi,Mean platelet volume (fL)
lbxnepct,Segmented neutrophils percent (%)
lbxpltsi,Platelet count (%) SI
lbxrbcsi,Red cell count SI
lbxrdw,Red cell distribution width (%)
lbxwbcsi,White blood cell count:  SI
lb2day,The number of days between the collection of the first and second exam
lb2hdl,HDL-cholesterol (mg/dL)
lb2hdlsi,HDL-cholesterol (mmol/L)
lb2ldl,LDL-cholesterol (mg/dL)
lb2ldlsi,LDL-cholesterol (mmol/L)
lb2tc,Total cholesterol (mg/dL)
lb2tcsi,Total cholesterol (mmol/L)
lb2tr,Triglyceride (mg/dL)
lb2trsi,Triglyceride (mmol/L)
lb2bano,Basophils number (1000 cells/uL)
lb2bapct,Basophils percent (%)
lb2day,Days between first and second exam
lb2eono,Eosinophils number (1000 cells/uL)
lb2eopct,Eosinophils percent (%)
lb2hct,Hematocrit (%)
lb2hgb,Hemoglobin (g/dL)
lb2lymno,Lymphocyte number (1000 cells/uL)
lb2lypct,Lymphocyte percent (%)
lb2mc,MCHC (g/dL)
lb2mchsi,Mean cell hemoglobin (pg)
lb2mcvsi,Mean cell volume (fL)
lb2mono,Monocyte number (1000 cells/uL)
lb2mopct,Monocyte percent (%)
lb2mpsi,Mean platelet volume (fL)
lb2neno,Segmented neutrophils num (1000 cell/uL)
lb2nepct,Segmented neutrophils percent (%)
lb2pltsi,Platelet count (1000 cells/uL)
lb2rbcsi,Red blood cell count (million cells/uL)
lb2rdw,Red cell distribution width (%)
lb2wbcsi,White blood cell count (1000 cells/uL)
lbxgh,Glycohemoglobin (%)
lbdbap,Bone alkaline phosphotase (ug/L)
urdnt,N-Telopeptides (nmol BCE)
wtsaf2yr,2Yr AM(3-11)  & fasting (12+) weights
wtsaf4yr,4Yr AM(3-11)  & fasting (12+) weights
lbdsapsi,Alkaline phosphatase (U/L)
lbdscasi,Total calcium (mmol/L)
lbdschsi,Cholesterol (mmol/L)
lbdscr,Creatinine (mg/dL)
lbdsglsi,"Glucose, serum (mmol/L)"
lbdsldsi,LDH (U/L)
lbdsph,Phosphorus  (mg/dL)
lbdstb,"Bilirubin, total (mg/dL)"
lbdstpsi,Total protein (g/L)
lbxsassi,AST: SI (U/L)
lbxsatsi,ALT: SI (U/L)
lbxsc3si,Bicarbonate: SI (mmol/L)
lbxsca,Total Calcium (mg/dL)
lbxsch,Cholesterol (mg/dL)
lbxsclsi,Chloride: SI (mmol/L)
lbxsgl,"Glucose, serum (mg/dL)"
lbxsgtsi,GGT: SI (U/L)
lbxsksi,Potassium: SI (mmol/L)
lbxsnasi,Sodium: SI (mmol/L)
lbxsossi,Osmolality: SI (mmol/Kg)
lbxstp,Total protein (g/dL)
lbxtsh,Thyroid stimulating hormone (TSH) (IU/L)
lb2cp,C-peptide: pmol/mL
lb2cpsi,C-peptide (nmol/L) in SI units
lb2day,Days between the 1st and 2nd exams
lb2gh,Glycohemoglobin (%)
lb2glu,Plasma glucose (mg/dL)
lb2glusi,Plasma glucose: SI(mmol/L)
lb2in,Insulin (uU/mL)
lb2insi,Insulin: SI(pmol/L)
lb2fsh,Follicle stimulating hormone (mIU/mL)
lb2fshsi,Follicle stimulating hormone (IU/L)
lb2lh,Luteinizing hormone (mIU/mL)
lb2lhsi,Luteinizing hormone (IU/L)
lb2sal,Albumin (g/dL)
lb2salsi,Albumin (g/L)
lb2sapsi,Alkaline phosphotase (U/L)
lb2sassi,Aspartate aminotransferase (U/L)
lb2satsi,Alanine aminotransferase (U/L)
lb2sbu,Blood urea nitrogen (mg/dL)
lb2sbusi,Blood urea nitrogen (mmol/L)
lb2sc3si,Bicarbonate (mmol/L)
lb2sca,Total calcium (mg/dL)
lb2scasi,Total calcium (mmol/L)
lb2sch,Cholesterol (mg/dL)
lb2schsi,Cholesterol (mmol/L)
lb2sclsi,Chloride (mmol/L)
lb2scr,Creatinine (mg/dL)
lb2scrsi,Creatinine (umol/L)
lb2sgl,Glucose (mg/dL)
lb2sglsi,"Glucose, serum (mmol/L)"
lb2sgtsi,Gamma glutamyltransferase
lb2sir,Iron (ug/dL)
lb2sirsi,Iron (umol/L)
lb2sksi,Potassium (mmol/L)
lb2sldsi,Lactate dehydrogenase (U/L)
lb2snasi,Sodium (mmol/L)
lb2sph,Phosphorus (mg/dL)
lb2sphsi,Phosphorus (mmol/L)
lb2stb,"Bilirubin, total (mg/dL)"
lb2stbsi,"Bilirubin, total (umol/L)"
lb2stp,"Protein, total (g/dL)"
lb2stpsi,Total protein (g/L)
lb2str,Triglycerides (mg/dL)
lb2strsi,Triglycerides (mmol/L)
lb2sua,Uric acid (mg/dL)
lb2suasi,Uric acid (umol/L)
lbdhddsi,Direct HDL-Cholesterol (mmol/L)
lbdtcsi,Total Cholesterol (mmol/L)
lbxhdd,Direct HDL-Cholesterol (mg/dL)
lbxtc,Total Cholesterol (mg/dL)
lbdglusi,Plasma glucose: SI(mmol/L)
lbdinsi,Insulin: SI(pmol/L)
lbxpt21,Parathyroid Hormone(Elecys method) pg/mL
lbxpltsi,Platelet count SI (1000 cells/uL)
lbxrbcsi,Red blood cell count (million cells/uL)
lbxwbcsi,White blood cell count (1000 cells/uL)
lbdscrsi,
lbdsirsi,"Iron, refigerated (umol/L)"
lbxsapsi,Alkaline phosphatase(U/L)
lbxsassi,Aspartate aminotransferase(U/L)
lbxsatsi,Alanine aminotransferase(U/L)
lbxsc3si,Bicarbonate(mmol/L)
lbxsca,Total calcium (mg/dL)
lbxsclsi,Chloride(mmol/L)
lbxsgtsi,Gamma glutamyl transferase : SI (U/L)
lbxsir,"Iron, refigerated (ug/dL)"
lbxsldsi,Lactate dehydrogenase LDH (U/L)
lbxsnasi,Sodium(mmol/L)
lbxsossi,Osmolality(mmol/Kg)
lbxstb,Total bilirubin (mg/dL)
lbdtcsi,Total Cholesterol( mmol/L)
lbdhdd,Direct HDL-Cholesterol (mg/dL)
lbdbano,Basophils number (1000 cells/uL)
lbdeono,Eosinophils number (1000 cells/uL)
lbdlymno,Lymphocyte number (1000 cells/uL)
lbdmono,Monocyte number (1000 cells/uL)
lbdneno,Segmented neutrophils num (1000 cell/uL)
lbdglusi,Fasting Glucose (mmol/L)
lbdinsi,Insulin (pmol/L)
lbxglu,Fasting Glucose (mg/dL)
lbxin,Insulin (uU/mL )
phafsthr,"Total length of 'food fast', hours"
phafstmn,"Total length of 'food fast', minutes"
wtsaf2yr,Fasting Subsample 2 Year MEC Weight
lbdsphsi,Phosphorus (mmol/L)
lbxsassi,Aspartate aminotransferase AST (U/L)
lbxsatsi,Alanine aminotransferase ALT (U/L)
lbxsgtsi,Gamma glutamyl transferase (U/L)
lbxsossi,Osmolality (mmol/Kg)
lbxsph,Phosphorus (mg/dL)
lbdapbsi,Apolipoprotein (B) (g/L)
lbxapb,Apolipoprotein (B) (mg/dL)
lbdgltsi,Two Hour Glucose(OGTT) (mmol/L)
lbxglt,Two hour oral glucose tolerance (OGTT) (mg/dL)
wtsog2yr,OGTT Subsample 2 Year MEC Weight
phafsthr,The time (in hours) between when the examinee last ate or drank anything other than water and the ti
phafstmn,The time (in minutes) between when the examinee last ate or drank anything other than water and the 
lbdt4fsi,"Thyroxine, free (pmol/L)"
lbdtgnsi,Thyroglobulin (ug/L)
lbdtsh1s,Thyroid stimulating hormone (mIU/L)
lbdtt3si,"Triiodothyronine (T3), total (nmol/L)"
lbxatg,Thyroglobulin antibodies (IU/mL)
lbxt3f,"Triiodothyronine (T3), free (pg/mL)"
lbxt4f,"Thyroxine, free (ng/dL)"
lbxtgn,Thyroglobulin (ng/mL)
lbxtpo,Thyroid peroxidase antibodies (IU/mL)
lbxtsh1,Thyroid stimulating hormone (uIU/mL)
lbxtt3,"Triiodothyronine (T3), total (ng/dL)"
lbxtt4,"Thyroxine, total (T4) (ug/dL)"
lbdscrsi,Creatinine (µmol/L)
lbxsassi,Asparate aminotransferase (AST)(U/L)
lbxsatsi,Alanine aminotransferase (ALT)(U/L)
gtdbl2mn,Time from fasting glucose & OGTT (min)
gtdcode,Incomplete OGTT Comment Code
gtddr1mn,Time from fast glucose & challenge (min)
gtddr2mn,Time from glucose challenge & OGTT(min)
gtdscmmn,Glucose challenge Administer Time in minutes
gtxdrank,Amount of glucose challenge drank
lbxglt,Two Hour Glucose(OGTT) (mg/dL)
lbxpltsi,Platelet count (1000 cells/uL)
lbdstbsi,Total bilirubin (umol/L)
